road_type,traffic_level,weather_condition,time_bucket,sample_count,mean_delay_min,median_delay_min,p90_delay_min,p95_delay_min,std_delay_min,on_time_rate,delay_probability
mountain,moderate,cloudy,evening_rush,59,30.03,25.53,45.4,49.85,12.01,0.02,0.98
mountain,moderate,cloudy,night,94,18.48,15.71,27.94,30.67,7.39,0.384,0.616
mountain,moderate,fog,morning_rush,71,40.95,34.81,61.92,67.98,16.38,0.02,0.98
mountain,moderate,fog,midday,119,31.5,26.77,47.63,52.29,12.6,0.02,0.98
mountain,moderate,fog,evening_rush,146,40.95,34.81,61.92,67.98,16.38,0.02,0.98
mountain,moderate,fog,night,171,25.2,21.42,38.1,41.83,10.08,0.16,0.84
mountain,moderate,rain,morning_rush,58,49.14,41.77,74.3,81.58,19.66,0.02,0.98
mountain,moderate,rain,midday,96,37.8,32.13,57.15,62.75,15.12,0.02,0.98
mountain,moderate,rain,evening_rush,46,49.14,41.77,74.3,81.58,19.66,0.02,0.98
mountain,moderate,rain,night,106,30.24,25.7,45.73,50.2,12.1,0.02,0.98
mountain,moderate,snow,morning_rush,141,68.25,58.01,103.19,113.3,27.3,0.02,0.98
mountain,moderate,snow,midday,40,52.5,44.62,79.38,87.15,21.0,0.02,0.98
mountain,moderate,snow,evening_rush,60,68.25,58.01,103.19,113.3,27.3,0.02,0.98
mountain,moderate,snow,night,184,42.0,35.7,63.5,69.72,16.8,0.02,0.98
mountain,moderate,wind,morning_rush,137,32.76,27.85,49.53,54.38,13.1,0.02,0.98
mountain,moderate,wind,midday,185,25.2,21.42,38.1,41.83,10.08,0.16,0.84
mountain,moderate,wind,evening_rush,198,32.76,27.85,49.53,54.38,13.1,0.02,0.98
mountain,moderate,wind,night,127,20.16,17.14,30.48,33.46,8.06,0.328,0.672
mountain,high,clear,morning_rush,70,39.0,33.15,58.97,64.74,15.6,0.02,0.98
mountain,high,clear,midday,180,30.0,25.5,45.36,49.8,12.0,0.02,0.98
mountain,high,clear,evening_rush,160,39.0,33.15,58.97,64.74,15.6,0.02,0.98
mountain,high,clear,night,77,24.0,20.4,36.29,39.84,9.6,0.2,0.8
mountain,high,cloudy,morning_rush,102,42.9,36.46,64.86,71.21,17.16,0.02,0.98
mountain,high,cloudy,midday,89,33.0,28.05,49.9,54.78,13.2,0.02,0.98
mountain,high,cloudy,evening_rush,74,42.9,36.46,64.86,71.21,17.16,0.02,0.98
mountain,high,cloudy,night,188,26.4,22.44,39.92,43.82,10.56,0.12,0.88
mountain,high,fog,morning_rush,93,58.5,49.73,88.45,97.11,23.4,0.02,0.98
mountain,high,fog,midday,125,45.0,38.25,68.04,74.7,18.0,0.02,0.98
mountain,high,fog,evening_rush,160,58.5,49.73,88.45,97.11,23.4,0.02,0.98
mountain,high,fog,night,104,36.0,30.6,54.43,59.76,14.4,0.02,0.98
mountain,high,rain,morning_rush,148,70.2,59.67,106.14,116.53,28.08,0.02,0.98
mountain,high,rain,midday,129,54.0,45.9,81.65,89.64,21.6,0.02,0.98
mountain,high,rain,evening_rush,83,70.2,59.67,106.14,116.53,28.08,0.02,0.98
mountain,high,rain,night,191,43.2,36.72,65.32,71.71,17.28,0.02,0.98
mountain,high,snow,morning_rush,167,97.5,82.88,147.42,161.85,39.0,0.02,0.98
mountain,high,snow,midday,26,75.0,63.75,113.4,124.5,30.0,0.02,0.98
mountain,high,snow,evening_rush,125,97.5,82.88,147.42,161.85,39.0,0.02,0.98
mountain,high,snow,night,45,60.0,51.0,90.72,99.6,24.0,0.02,0.98
mountain,high,wind,morning_rush,120,46.8,39.78,70.76,77.69,18.72,0.02,0.98
mountain,high,wind,midday,157,36.0,30.6,54.43,59.76,14.4,0.02,0.98
mountain,high,wind,evening_rush,57,46.8,39.78,70.76,77.69,18.72,0.02,0.98
mountain,high,wind,night,95,28.8,24.48,43.55,47.81,11.52,0.04,0.96
mountain,congested,clear,morning_rush,164,58.5,49.73,88.45,97.11,23.4,0.02,0.98
mountain,congested,clear,midday,140,45.0,38.25,68.04,74.7,18.0,0.02,0.98
mountain,congested,clear,evening_rush,171,58.5,49.73,88.45,97.11,23.4,0.02,0.98
mountain,congested,clear,night,183,36.0,30.6,54.43,59.76,14.4,0.02,0.98
mountain,congested,cloudy,morning_rush,80,64.35,54.7,97.3,106.82,25.74,0.02,0.98
mountain,congested,cloudy,midday,177,49.5,42.07,74.84,82.17,19.8,0.02,0.98
mountain,congested,cloudy,evening_rush,175,64.35,54.7,97.3,106.82,25.74,0.02,0.98
mountain,congested,cloudy,night,159,39.6,33.66,59.88,65.74,15.84,0.02,0.98
mountain,congested,fog,morning_rush,188,87.75,74.59,132.68,145.66,35.1,0.02,0.98
mountain,congested,fog,midday,39,67.5,57.38,102.06,112.05,27.0,0.02,0.98
mountain,congested,fog,evening_rush,126,87.75,74.59,132.68,145.66,35.1,0.02,0.98
mountain,congested,fog,night,44,54.0,45.9,81.65,89.64,21.6,0.02,0.98
mountain,congested,rain,morning_rush,110,105.3,89.5,159.21,174.8,42.12,0.02,0.98
mountain,congested,rain,midday,77,81.0,68.85,122.47,134.46,32.4,0.02,0.98
mountain,congested,rain,evening_rush,192,105.3,89.5,159.21,174.8,42.12,0.02,0.98
mountain,congested,rain,night,148,64.8,55.08,97.98,107.57,25.92,0.02,0.98
mountain,congested,snow,morning_rush,41,146.25,124.31,221.13,242.77,58.5,0.02,0.98
mountain,congested,snow,midday,45,112.5,95.62,170.1,186.75,45.0,0.02,0.98
mountain,congested,snow,evening_rush,120,146.25,124.31,221.13,242.77,58.5,0.02,0.98
mountain,congested,snow,night,151,90.0,76.5,136.08,149.4,36.0,0.02,0.98
mountain,congested,wind,morning_rush,187,70.2,59.67,106.14,116.53,28.08,0.02,0.98
mountain,congested,wind,midday,70,54.0,45.9,81.65,89.64,21.6,0.02,0.98
mountain,congested,wind,evening_rush,197,70.2,59.67,106.14,116.53,28.08,0.02,0.98
mountain,congested,wind,night,138,43.2,36.72,65.32,71.71,17.28,0.02,0.98
