obs_id,timestamp,latitude,longitude,weather_condition,temperature_c,feels_like_c,precipitation_mm,precipitation_type,wind_speed_kmh,wind_direction_deg,humidity_pct,pressure_hpa,visibility_km,cloud_cover_pct,uv_index,road_surface_condition,delay_risk_score
WOB-20168,2025-04-22 00:00:00,39.851113,37.366064,cloudy,17.4,17.1,0.0,none,6.7,91,34.9,989.2,7.1,30.6,0.5,dry,0.272
WOB-20169,2025-04-22 03:00:00,39.396983,37.139918,fog,18.2,17.6,0.0,none,13.0,261,89.6,1008.4,4.9,86.2,6.9,dry,0.433
WOB-20170,2025-04-22 06:00:00,39.611689,37.215843,clear,4.1,3.6,0.0,none,9.2,313,48.0,1014.5,16.4,9.7,1.3,dry,0.112
WOB-20171,2025-04-22 09:00:00,39.502394,37.086875,wind,19.1,19.0,0.0,none,1.2,352,78.4,1015.3,8.3,6.2,2.8,dry,0.327
WOB-20172,2025-04-22 12:00:00,39.811078,36.802694,cloudy,14.9,14.3,0.0,none,11.6,323,33.0,1020.5,10.9,27.0,7.1,dry,0.138
WOB-20173,2025-04-22 15:00:00,39.847433,37.389716,cloudy,14.5,13.4,0.0,none,21.3,315,41.1,1018.9,15.3,76.7,0.5,dry,0.199
WOB-20174,2025-04-22 18:00:00,39.370846,36.958997,rain,5.1,3.7,2.9,rain,27.4,284,94.5,990.3,11.5,87.2,4.9,wet,0.596
WOB-20175,2025-04-22 21:00:00,39.722889,37.153961,rain,7.3,4.9,3.5,rain,48.9,325,37.4,1011.6,11.1,54.2,6.5,wet,0.458
WOB-20176,2025-04-23 00:00:00,39.276062,37.481203,rain,18.9,17.2,4.1,rain,33.1,97,40.1,1005.3,19.5,15.7,7.2,wet,0.599
WOB-20177,2025-04-23 03:00:00,39.879572,37.044529,wind,12.2,10.6,0.0,none,32.4,95,60.0,1010.0,12.6,85.6,4.2,dry,0.236
WOB-20178,2025-04-23 06:00:00,39.866867,37.137595,fog,11.5,8.7,0.0,none,56.5,197,36.2,982.2,1.1,75.6,5.8,dry,0.318
WOB-20179,2025-04-23 09:00:00,39.769253,36.973154,snow,20.7,19.1,14.0,snow,31.4,38,70.4,1003.4,17.8,44.5,3.3,icy,0.812
WOB-20180,2025-04-23 12:00:00,39.573269,36.972865,rain,25.7,23.9,5.6,rain,35.6,354,49.4,1013.0,13.7,17.8,5.4,wet,0.512
WOB-20181,2025-04-23 15:00:00,39.867339,37.079478,wind,17.0,15.8,0.0,none,23.4,196,79.6,1010.6,10.5,35.4,6.6,dry,0.224
WOB-20182,2025-04-23 18:00:00,39.823776,36.913755,cloudy,12.6,10.8,0.0,none,37.0,166,44.5,993.6,13.9,43.5,5.1,dry,0.23
WOB-20183,2025-04-23 21:00:00,39.639181,36.899904,rain,13.8,12.0,8.9,rain,36.5,316,56.8,1009.5,11.7,99.7,0.5,wet,0.446
WOB-20184,2025-04-24 00:00:00,39.520099,37.280201,rain,7.8,7.8,0.8,rain,0.2,254,46.6,997.6,16.7,61.8,4.6,wet,0.527
WOB-20185,2025-04-24 03:00:00,39.411588,37.087667,rain,11.8,10.0,3.3,rain,36.5,124,48.8,1002.9,12.6,94.4,2.7,wet,0.672
WOB-20186,2025-04-24 06:00:00,39.608996,36.819568,rain,13.9,10.9,8.2,rain,59.8,148,50.5,1019.6,9.4,16.7,5.1,wet,0.488
WOB-20187,2025-04-24 09:00:00,39.314818,36.897679,rain,20.1,17.6,3.0,rain,50.1,234,32.5,1000.0,19.8,55.3,7.2,wet,0.519
WOB-20188,2025-04-24 12:00:00,39.564058,37.339121,clear,17.7,16.1,0.0,none,32.1,0,66.2,1007.0,8.8,55.6,7.0,dry,0.073
WOB-20189,2025-04-24 15:00:00,39.633198,37.315825,clear,11.7,9.3,0.0,none,48.9,134,84.2,1017.2,13.3,10.6,2.8,dry,0.137
WOB-20190,2025-04-24 18:00:00,39.208908,36.800442,cloudy,33.2,31.9,0.0,none,26.8,23,74.2,1016.0,10.6,76.0,3.2,dry,0.21
WOB-20191,2025-04-24 21:00:00,39.865221,37.071182,snow,25.6,25.0,5.7,snow,12.2,49,66.3,1018.4,18.7,19.2,3.5,icy,0.694
WOB-20192,2025-04-25 00:00:00,39.732819,37.439786,snow,6.3,5.0,4.8,snow,26.9,9,72.5,1006.5,5.8,16.2,7.0,icy,0.658
WOB-20193,2025-04-25 03:00:00,39.681552,36.833324,clear,26.1,25.5,0.0,none,12.2,138,89.7,995.2,10.6,96.9,1.1,dry,0.114
WOB-20194,2025-04-25 06:00:00,39.831671,37.080608,snow,22.4,21.4,4.5,snow,20.6,191,40.7,1027.0,11.3,37.8,6.3,icy,0.731
WOB-20195,2025-04-25 09:00:00,39.534381,37.020798,cloudy,28.0,26.2,0.0,none,36.7,217,79.9,989.2,11.5,85.5,1.0,dry,0.274
WOB-20196,2025-04-25 12:00:00,39.507704,36.82058,clear,12.3,10.4,0.0,none,38.1,255,50.0,1025.0,14.9,30.4,2.3,dry,0.13
WOB-20197,2025-04-25 15:00:00,39.793672,37.372447,fog,11.1,9.8,0.0,none,26.2,273,44.6,980.3,1.7,83.0,7.8,dry,0.426
WOB-20198,2025-04-25 18:00:00,39.803297,37.217152,fog,11.3,11.0,0.0,none,6.1,1,78.2,999.7,3.8,65.8,7.6,dry,0.44
WOB-20199,2025-04-25 21:00:00,39.30023,37.478937,clear,27.6,26.9,0.0,none,14.2,253,40.2,1018.6,16.7,53.6,4.4,dry,0.063
WOB-20200,2025-04-26 00:00:00,39.427307,36.926661,cloudy,7.5,5.4,0.0,none,42.7,342,49.8,1014.1,9.8,34.6,5.7,dry,0.157
WOB-20201,2025-04-26 03:00:00,39.630463,37.114039,fog,18.2,16.7,0.0,none,30.1,28,51.8,982.6,3.0,85.2,0.4,dry,0.415
WOB-20202,2025-04-26 06:00:00,39.361225,37.056285,fog,10.0,8.6,0.0,none,27.2,109,53.2,987.1,2.1,43.8,4.2,dry,0.377
WOB-20203,2025-04-26 09:00:00,39.283358,37.206407,wind,19.0,16.5,0.0,none,50.0,359,82.4,1008.6,17.7,19.9,2.3,dry,0.217
WOB-20204,2025-04-26 12:00:00,39.287368,36.952441,snow,17.1,15.5,7.6,snow,32.1,42,86.8,983.4,8.3,20.1,6.6,icy,0.793
WOB-20205,2025-04-26 15:00:00,39.574464,36.922558,snow,34.6,34.5,6.7,snow,2.2,285,34.4,1019.7,12.1,48.0,3.8,icy,0.681
WOB-20206,2025-04-26 18:00:00,39.419423,36.885559,clear,12.8,12.2,0.0,none,11.0,354,49.9,996.3,15.3,66.1,7.4,dry,0.162
WOB-20207,2025-04-26 21:00:00,39.558319,37.404434,wind,17.2,14.8,0.0,none,47.1,182,57.6,1003.9,5.8,29.3,7.0,dry,0.34
WOB-20208,2025-04-27 00:00:00,39.478243,37.4525,rain,22.8,20.0,11.3,rain,56.0,158,44.6,1020.7,13.9,13.7,4.8,wet,0.58
WOB-20209,2025-04-27 03:00:00,39.439019,37.226714,fog,23.6,22.3,0.0,none,25.8,294,68.1,981.4,4.9,3.7,0.4,dry,0.355
WOB-20210,2025-04-27 06:00:00,39.851787,37.296209,snow,6.4,4.8,8.9,snow,31.9,83,36.2,984.2,8.5,59.4,5.3,icy,0.731
WOB-20211,2025-04-27 09:00:00,39.856518,37.343535,fog,19.0,18.1,0.0,none,17.7,152,70.3,1027.0,2.1,83.9,4.9,dry,0.383
WOB-20212,2025-04-27 12:00:00,39.822883,37.030015,rain,7.5,4.9,8.6,rain,52.6,292,52.7,1006.0,17.4,94.5,5.9,wet,0.523
WOB-20213,2025-04-27 15:00:00,39.626442,37.428036,snow,19.2,17.4,6.9,snow,35.0,323,84.5,1021.0,16.0,29.9,4.3,icy,0.759
WOB-20214,2025-04-27 18:00:00,39.848361,37.325429,wind,2.7,0.0,0.0,none,53.9,270,49.5,1028.3,11.9,92.5,6.5,dry,0.188
WOB-20215,2025-04-27 21:00:00,39.566151,37.073853,fog,16.5,15.0,0.0,none,29.8,267,36.8,989.1,4.5,21.8,0.2,dry,0.367
WOB-20216,2025-04-28 00:00:00,39.372033,37.49025,snow,1.6,1.3,12.8,snow,6.8,251,84.2,984.0,6.2,94.5,2.7,icy,0.749
WOB-20217,2025-04-28 03:00:00,39.806526,37.390597,clear,16.3,13.9,0.0,none,47.7,293,71.0,988.3,14.9,10.5,3.7,dry,0.093
WOB-20218,2025-04-28 06:00:00,39.609641,36.954708,clear,11.9,9.3,0.0,none,51.7,191,35.8,1021.5,18.9,31.3,4.0,dry,0.121
WOB-20219,2025-04-28 09:00:00,39.668255,36.936611,clear,15.3,13.1,0.0,none,44.9,344,55.6,1017.3,16.5,12.2,4.6,dry,0.044
WOB-20220,2025-04-28 12:00:00,39.532017,36.894081,snow,20.3,19.9,12.9,snow,7.5,161,52.7,992.2,13.6,42.7,4.6,icy,0.768
WOB-20221,2025-04-28 15:00:00,39.702025,36.829902,wind,0.3,-2.1,0.0,none,47.9,167,34.0,986.8,17.8,21.2,3.7,dry,0.232
WOB-20222,2025-04-28 18:00:00,39.46538,37.08144,rain,21.6,19.2,10.6,rain,47.2,225,35.1,1014.5,12.4,51.0,4.8,wet,0.569
WOB-20223,2025-04-28 21:00:00,39.433704,37.02523,snow,15.2,15.0,12.1,snow,3.6,220,35.9,1011.6,5.1,29.2,5.3,icy,0.797
WOB-20224,2025-04-29 00:00:00,39.54114,36.930156,clear,5.7,3.2,0.0,none,49.2,177,81.3,985.8,8.6,38.0,2.0,dry,0.019
WOB-20225,2025-04-29 03:00:00,39.530076,36.927198,wind,6.1,3.6,0.0,none,50.3,14,85.6,1007.2,18.7,42.2,6.1,dry,0.202
WOB-20226,2025-04-29 06:00:00,39.765067,36.979497,rain,8.8,8.3,4.1,rain,10.6,349,56.8,981.7,6.2,10.5,8.0,wet,0.575
WOB-20227,2025-04-29 09:00:00,39.644369,37.009729,rain,21.8,20.8,13.4,rain,20.1,135,32.8,998.7,18.1,12.4,1.5,wet,0.539
WOB-20228,2025-04-29 12:00:00,39.493789,37.095554,snow,10.9,10.9,14.7,snow,0.5,260,86.7,993.2,7.1,25.9,2.2,icy,0.742
WOB-20229,2025-04-29 15:00:00,39.848596,37.202741,clear,4.6,2.8,0.0,none,35.5,294,81.8,1000.9,16.9,40.2,5.6,dry,0.088
WOB-20230,2025-04-29 18:00:00,39.32159,37.153959,wind,22.2,20.1,0.0,none,41.5,142,91.0,1005.5,5.1,76.5,7.0,dry,0.196
WOB-20231,2025-04-29 21:00:00,39.576346,37.42493,fog,24.6,22.1,0.0,none,49.9,69,85.0,986.2,4.1,26.6,1.6,dry,0.451
WOB-20232,2025-04-30 00:00:00,39.752185,37.330291,wind,29.2,26.3,0.0,none,57.6,138,80.4,1018.3,19.8,3.5,2.4,dry,0.232
WOB-20233,2025-04-30 03:00:00,39.343882,37.128925,cloudy,3.6,0.9,0.0,none,54.1,333,78.6,1028.1,12.6,22.2,1.9,dry,0.154
WOB-20234,2025-04-30 06:00:00,39.2059,36.808719,rain,13.1,12.3,0.7,rain,15.1,57,91.2,997.5,8.5,51.3,5.1,wet,0.605
WOB-20235,2025-04-30 09:00:00,39.316801,36.827663,rain,20.0,19.6,2.4,rain,8.0,134,34.4,1022.4,9.0,86.2,1.9,wet,0.544
WOB-20236,2025-04-30 12:00:00,39.205126,37.330573,clear,5.2,4.1,0.0,none,21.4,33,31.3,1015.4,11.9,49.5,4.7,dry,0.048
WOB-20237,2025-04-30 15:00:00,39.746548,37.388132,wind,13.6,13.1,0.0,none,9.6,329,34.9,1011.1,10.6,71.5,2.5,dry,0.314
WOB-20238,2025-04-30 18:00:00,39.219713,37.311133,wind,19.0,18.2,0.0,none,16.6,285,60.9,1017.2,19.3,98.3,6.9,dry,0.237
WOB-20239,2025-04-30 21:00:00,39.755416,36.929866,snow,10.8,7.8,5.9,snow,59.5,7,47.2,1024.5,17.6,64.6,1.7,icy,0.768
WOB-20240,2025-05-01 00:00:00,39.568088,36.869452,rain,23.0,22.9,9.5,rain,2.1,195,44.0,1003.7,9.6,14.9,3.2,wet,0.586
WOB-20241,2025-05-01 03:00:00,39.222258,37.034655,wind,13.4,10.6,0.0,none,55.8,121,55.4,1020.1,16.7,72.1,0.6,dry,0.236
WOB-20242,2025-05-01 06:00:00,39.525392,37.223441,fog,21.6,19.9,0.0,none,35.0,15,33.9,1004.7,1.0,13.7,7.6,dry,0.519
WOB-20243,2025-05-01 09:00:00,39.726845,36.824225,snow,16.8,15.0,7.2,snow,36.9,231,41.2,984.7,6.3,20.4,6.5,icy,0.748
WOB-20244,2025-05-01 12:00:00,39.329947,36.817466,snow,24.2,22.2,13.3,snow,39.3,129,50.6,1026.1,12.4,77.3,5.9,icy,0.765
WOB-20245,2025-05-01 15:00:00,39.875089,37.131773,clear,18.9,18.4,0.0,none,10.0,3,59.6,995.3,17.1,40.7,7.9,dry,0.1
WOB-20246,2025-05-01 18:00:00,39.831674,36.928567,cloudy,21.1,20.2,0.0,none,17.6,73,36.0,999.9,16.8,14.4,1.4,dry,0.125
WOB-20247,2025-05-01 21:00:00,39.211912,36.990118,snow,14.6,11.9,14.3,snow,54.8,228,81.9,1003.7,15.0,18.0,4.9,icy,0.771
WOB-20248,2025-05-02 00:00:00,39.357255,36.891385,cloudy,11.2,9.3,0.0,none,37.5,209,35.1,1003.3,9.7,81.8,5.8,dry,0.154
WOB-20249,2025-05-02 03:00:00,39.684429,37.209042,clear,26.8,26.0,0.0,none,16.2,179,37.3,981.9,10.2,10.6,4.6,dry,0.086
WOB-20250,2025-05-02 06:00:00,39.319511,37.100907,clear,7.2,5.5,0.0,none,34.9,207,94.6,1015.2,17.6,73.3,6.4,dry,0.204
WOB-20251,2025-05-02 09:00:00,39.494911,36.949726,rain,14.7,12.0,12.0,rain,54.5,194,94.9,1025.4,12.7,50.0,2.2,wet,0.614
WOB-20252,2025-05-02 12:00:00,39.262,37.195189,rain,14.5,12.0,3.8,rain,49.3,292,32.1,994.6,13.4,84.6,1.0,wet,0.61
WOB-20253,2025-05-02 15:00:00,39.776716,37.425614,rain,14.2,12.0,8.8,rain,43.6,103,55.5,1028.1,12.9,62.5,6.7,wet,0.565
WOB-20254,2025-05-02 18:00:00,39.514333,37.465409,fog,21.4,20.6,0.0,none,16.1,258,40.3,991.2,2.7,96.5,3.3,dry,0.395
WOB-20255,2025-05-02 21:00:00,39.89851,36.939511,fog,10.9,8.3,0.0,none,51.3,251,74.6,1017.1,1.7,86.6,2.9,dry,0.412
WOB-20256,2025-05-03 00:00:00,39.212722,37.163298,fog,20.5,19.8,0.0,none,13.1,127,81.6,1017.2,1.2,99.4,3.6,dry,0.4
WOB-20257,2025-05-03 03:00:00,39.899491,36.884923,snow,15.6,13.9,8.0,snow,34.3,60,56.4,980.1,16.7,58.0,6.8,icy,0.753
WOB-20258,2025-05-03 06:00:00,39.297205,37.14613,clear,5.0,3.1,0.0,none,37.7,233,78.2,1009.1,17.3,53.2,6.2,dry,0.155
WOB-20259,2025-05-03 09:00:00,39.75661,37.035787,wind,2.7,2.6,0.0,none,2.7,278,94.3,1027.5,5.1,94.3,6.9,dry,0.27
WOB-20260,2025-05-03 12:00:00,39.617708,37.38881,snow,-17.8,-17.9,6.1,snow,2.4,301,63.5,1014.2,5.3,24.9,0.9,snow_covered,0.854
WOB-20261,2025-05-03 15:00:00,39.566374,36.859614,clear,14.0,12.7,0.0,none,26.7,47,73.0,1007.8,18.9,36.9,2.1,dry,0.063
WOB-20262,2025-05-03 18:00:00,39.645145,37.363444,snow,21.6,21.2,12.2,snow,9.0,340,30.8,998.2,5.3,32.4,1.9,icy,0.801
WOB-20263,2025-05-03 21:00:00,39.398368,37.4234,rain,7.6,5.9,5.9,rain,34.5,139,86.1,1001.6,14.0,14.8,0.4,wet,0.579
WOB-20264,2025-05-04 00:00:00,39.297495,37.338994,clear,9.0,7.1,0.0,none,38.6,46,74.8,987.6,5.2,13.8,1.8,dry,0.088
WOB-20265,2025-05-04 03:00:00,39.298517,37.171615,rain,3.8,3.3,14.5,rain,9.0,256,87.7,1004.8,18.4,68.9,7.2,wet,0.501
WOB-20266,2025-05-04 06:00:00,39.865724,36.955588,rain,17.5,16.9,9.7,rain,11.6,232,31.1,994.7,9.7,15.9,0.8,wet,0.659
WOB-20267,2025-05-04 09:00:00,39.856788,37.239839,snow,24.6,23.0,5.3,snow,32.9,323,93.3,997.3,15.3,1.8,5.3,icy,0.731
WOB-20268,2025-05-04 12:00:00,39.498529,36.816472,rain,16.5,16.0,7.2,rain,10.4,43,38.3,992.1,5.8,14.3,0.7,wet,0.558
WOB-20269,2025-05-04 15:00:00,39.289007,37.314506,clear,12.8,12.3,0.0,none,10.5,321,57.8,997.5,19.8,12.5,5.2,dry,0.018
WOB-20270,2025-05-04 18:00:00,39.504658,37.027572,fog,27.0,27.0,0.0,none,0.7,132,50.3,1016.3,3.9,97.1,2.4,dry,0.374
WOB-20271,2025-05-04 21:00:00,39.643809,37.067974,cloudy,32.4,31.1,0.0,none,25.1,12,37.0,984.4,8.3,23.7,2.9,dry,0.114
WOB-20272,2025-05-05 00:00:00,39.544273,36.904231,wind,14.5,13.9,0.0,none,12.3,120,52.7,1028.1,16.0,8.3,8.0,dry,0.18
WOB-20273,2025-05-05 03:00:00,39.521193,37.4669,snow,24.2,21.9,11.5,snow,45.0,201,59.4,980.2,6.9,39.2,3.3,icy,0.854
WOB-20274,2025-05-05 06:00:00,39.393243,36.853612,rain,32.0,29.1,11.9,rain,57.2,318,87.2,1024.2,17.8,40.9,4.4,wet,0.504
WOB-20275,2025-05-05 09:00:00,39.663674,37.204727,snow,18.9,17.5,9.5,snow,28.4,327,43.5,980.8,17.4,41.3,7.5,icy,0.719
WOB-20276,2025-05-05 12:00:00,39.419245,36.990313,snow,11.6,8.7,14.9,snow,58.4,107,50.0,995.4,6.9,41.9,5.9,icy,0.811
WOB-20277,2025-05-05 15:00:00,39.790434,37.223221,rain,-3.6,-4.6,2.7,rain,20.2,182,40.6,992.8,14.6,78.6,0.1,icy,0.514
WOB-20278,2025-05-05 18:00:00,39.270753,37.29718,rain,11.5,9.0,4.6,rain,49.1,252,80.3,1007.3,16.5,8.0,1.2,wet,0.516
WOB-20279,2025-05-05 21:00:00,39.674018,37.352269,cloudy,26.9,26.2,0.0,none,14.0,256,86.8,1005.1,8.4,17.9,0.5,dry,0.201
WOB-20280,2025-05-06 00:00:00,39.80632,36.812801,snow,12.6,9.6,8.3,snow,59.6,50,83.1,1029.6,11.1,18.2,1.3,icy,0.839
WOB-20281,2025-05-06 03:00:00,39.330542,37.404233,fog,10.6,9.8,0.0,none,16.7,60,76.0,982.5,4.2,61.1,7.6,dry,0.468
WOB-20282,2025-05-06 06:00:00,39.810607,37.069535,rain,34.3,34.0,7.7,rain,6.0,29,43.2,983.1,15.9,69.9,0.8,wet,0.553
WOB-20283,2025-05-06 09:00:00,39.765311,36.822704,rain,4.8,1.9,9.3,rain,57.5,6,43.6,1025.9,6.2,47.5,0.9,wet,0.529
WOB-20284,2025-05-06 12:00:00,39.733349,37.188343,clear,15.0,14.7,0.0,none,5.9,23,80.7,985.2,17.3,63.0,3.1,dry,0.041
WOB-20285,2025-05-06 15:00:00,39.725879,36.83565,cloudy,16.3,14.2,0.0,none,41.0,259,46.8,1009.1,14.3,28.5,7.8,dry,0.082
WOB-20286,2025-05-06 18:00:00,39.344223,37.106285,rain,18.1,18.1,5.8,rain,0.6,114,52.0,988.3,6.8,11.9,3.8,wet,0.51
WOB-20287,2025-05-06 21:00:00,39.202424,36.896321,cloudy,3.8,1.3,0.0,none,50.2,239,68.9,982.8,12.8,22.7,0.9,dry,0.173
WOB-20288,2025-05-07 00:00:00,39.883164,36.90824,rain,16.5,16.2,10.5,rain,6.7,103,74.0,1024.0,14.2,58.8,7.9,wet,0.557
WOB-20289,2025-05-07 03:00:00,39.786251,36.828223,fog,1.3,-0.3,0.0,none,32.1,214,66.4,985.3,2.9,90.3,1.5,dry,0.41
WOB-20290,2025-05-07 06:00:00,39.446329,37.406992,fog,3.5,1.4,0.0,none,43.0,256,32.0,988.5,2.5,25.7,6.9,dry,0.378
WOB-20291,2025-05-07 09:00:00,39.313588,37.376968,cloudy,16.3,13.7,0.0,none,52.6,200,68.0,1019.5,19.5,38.4,5.4,dry,0.174
WOB-20292,2025-05-07 12:00:00,39.760593,37.277568,rain,0.3,-1.7,4.3,rain,40.0,182,34.3,1011.0,5.3,11.8,4.6,wet,0.519
WOB-20293,2025-05-07 15:00:00,39.238443,36.880808,fog,8.8,6.0,0.0,none,56.6,208,88.2,1021.2,1.4,38.8,0.0,dry,0.288
WOB-20294,2025-05-07 18:00:00,39.654144,37.336791,clear,16.5,13.6,0.0,none,58.8,80,48.3,990.6,19.3,74.8,0.9,dry,0.147
WOB-20295,2025-05-07 21:00:00,39.354273,36.807153,snow,22.0,19.4,4.7,snow,51.3,54,78.0,1010.0,12.6,80.9,6.5,icy,0.701
WOB-20296,2025-05-08 00:00:00,39.46394,37.303787,fog,16.6,16.3,0.0,none,6.1,281,94.3,1014.9,4.6,40.4,6.4,dry,0.388
WOB-20297,2025-05-08 03:00:00,39.584965,36.865431,cloudy,5.7,3.1,0.0,none,51.8,166,31.1,985.9,8.5,76.1,7.3,dry,0.098
WOB-20298,2025-05-08 06:00:00,39.49714,37.471409,rain,13.5,11.0,7.6,rain,49.2,163,60.7,1007.6,13.8,32.1,6.1,wet,0.709
WOB-20299,2025-05-08 09:00:00,39.430661,36.868936,clear,24.0,21.3,0.0,none,54.3,119,68.5,1018.3,18.6,49.8,0.8,dry,0.165
WOB-20300,2025-05-08 12:00:00,39.670013,37.218991,fog,14.5,11.7,0.0,none,56.3,82,44.8,999.2,1.2,15.4,6.3,dry,0.449
WOB-20301,2025-05-08 15:00:00,39.527995,36.825675,rain,15.8,15.0,5.9,rain,16.8,33,58.7,981.4,16.6,20.4,6.6,wet,0.454
WOB-20302,2025-05-08 18:00:00,39.648852,36.960916,rain,20.7,18.7,4.3,rain,39.1,340,77.0,990.8,13.0,48.7,2.5,wet,0.584
WOB-20303,2025-05-08 21:00:00,39.251027,37.0112,cloudy,1.4,-1.3,0.0,none,53.3,166,75.9,1013.6,9.4,38.3,1.3,dry,0.184
WOB-20304,2025-05-09 00:00:00,39.886886,37.425452,cloudy,8.2,7.0,0.0,none,23.7,95,66.1,1021.7,12.9,99.7,3.6,dry,0.275
WOB-20305,2025-05-09 03:00:00,39.534764,36.847318,rain,15.0,13.9,10.0,rain,22.6,105,91.3,990.4,8.1,54.8,7.4,wet,0.557
WOB-20306,2025-05-09 06:00:00,39.705425,37.385127,rain,11.2,10.5,9.3,rain,13.1,310,33.4,1024.8,12.9,69.4,6.4,wet,0.564
WOB-20307,2025-05-09 09:00:00,39.685745,37.34612,snow,23.5,21.5,6.2,snow,40.8,120,46.9,997.3,7.6,2.5,4.2,icy,0.72
WOB-20308,2025-05-09 12:00:00,39.42916,37.397628,snow,16.3,14.1,8.9,snow,44.5,219,91.9,1018.8,19.4,31.4,5.5,icy,0.694
WOB-20309,2025-05-09 15:00:00,39.817285,37.149868,wind,11.2,9.0,0.0,none,44.2,173,52.4,987.9,12.5,85.1,4.7,dry,0.299
WOB-20310,2025-05-09 18:00:00,39.5338,37.402219,clear,15.8,15.0,0.0,none,15.6,66,59.6,990.3,17.7,6.0,1.4,dry,0.187
WOB-20311,2025-05-09 21:00:00,39.781093,37.255874,wind,17.2,14.9,0.0,none,45.7,250,57.7,986.0,17.5,49.2,3.4,dry,0.269
WOB-20312,2025-05-10 00:00:00,39.402265,37.386005,clear,15.9,13.2,0.0,none,53.0,206,67.5,991.6,10.6,37.5,7.5,dry,0.071
WOB-20313,2025-05-10 03:00:00,39.828942,37.322814,rain,16.0,13.6,9.0,rain,48.4,291,81.7,980.7,7.8,99.7,7.1,wet,0.548
WOB-20314,2025-05-10 06:00:00,39.582457,37.407846,cloudy,12.3,9.8,0.0,none,49.7,230,60.2,1024.4,5.9,1.9,1.7,dry,0.164
WOB-20315,2025-05-10 09:00:00,39.439703,36.807546,clear,10.7,8.0,0.0,none,53.2,16,48.9,989.9,5.6,18.5,6.7,dry,0.119
WOB-20316,2025-05-10 12:00:00,39.804118,37.108399,cloudy,14.8,13.1,0.0,none,34.7,288,48.1,1002.2,17.8,97.9,7.3,dry,0.24
WOB-20317,2025-05-10 15:00:00,39.85074,36.982077,clear,-4.5,-4.6,0.0,none,2.0,80,87.3,1010.8,11.0,61.3,7.9,dry,0.069
WOB-20318,2025-05-10 18:00:00,39.523412,36.910603,fog,23.4,21.2,0.0,none,44.3,252,41.7,1023.1,1.9,16.0,4.6,dry,0.443
WOB-20319,2025-05-10 21:00:00,39.24165,37.381312,rain,17.0,14.7,4.8,rain,46.3,214,59.4,1012.3,17.3,82.4,3.6,wet,0.622
WOB-20320,2025-05-11 00:00:00,39.385342,37.324243,cloudy,8.6,5.7,0.0,none,58.6,300,54.3,1002.6,13.8,0.1,6.9,dry,0.186
WOB-20321,2025-05-11 03:00:00,39.792541,36.81519,rain,14.8,11.8,11.3,rain,59.6,22,65.5,1013.3,16.3,92.2,4.5,wet,0.554
WOB-20322,2025-05-11 06:00:00,39.743641,37.461148,cloudy,11.0,8.7,0.0,none,46.3,121,70.3,994.0,18.6,54.2,7.3,dry,0.183
WOB-20323,2025-05-11 09:00:00,39.204592,36.917441,snow,17.7,17.1,5.6,snow,11.5,183,34.4,987.7,8.1,37.4,5.2,icy,0.856
WOB-20324,2025-05-11 12:00:00,39.358369,37.036351,fog,3.0,2.7,0.0,none,6.8,168,81.8,1014.1,4.5,3.3,6.8,dry,0.512
WOB-20325,2025-05-11 15:00:00,39.335549,37.343035,snow,4.8,2.7,8.6,snow,41.7,98,86.9,994.7,8.1,24.6,7.4,icy,0.748
WOB-20326,2025-05-11 18:00:00,39.576856,37.251577,snow,14.1,13.1,8.3,snow,20.8,62,38.2,1028.3,16.2,26.9,2.2,icy,0.753
WOB-20327,2025-05-11 21:00:00,39.474975,37.435371,cloudy,17.0,14.7,0.0,none,46.8,313,69.1,986.7,16.3,5.6,1.1,dry,0.188
WOB-20328,2025-05-12 00:00:00,39.245897,36.810421,rain,12.4,10.6,7.2,rain,35.3,93,68.7,1023.3,9.2,64.1,4.5,wet,0.561
WOB-20329,2025-05-12 03:00:00,39.253209,36.960356,rain,2.2,1.8,1.9,rain,7.9,246,54.2,1016.1,10.9,12.8,3.4,wet,0.672
WOB-20330,2025-05-12 06:00:00,39.479049,37.068167,fog,10.5,7.9,0.0,none,51.2,72,75.6,1024.5,3.5,42.6,3.6,dry,0.405
WOB-20331,2025-05-12 09:00:00,39.573132,36.988006,cloudy,25.3,24.8,0.0,none,9.5,70,47.6,989.6,16.1,70.5,0.5,dry,0.211
WOB-20332,2025-05-12 12:00:00,39.346919,37.340325,wind,15.9,15.9,0.0,none,0.6,51,67.8,985.3,6.4,23.8,6.7,dry,0.295
WOB-20333,2025-05-12 15:00:00,39.623825,36.888795,snow,20.5,18.6,9.1,snow,38.3,354,78.2,1023.0,8.9,15.3,0.7,icy,0.704
WOB-20334,2025-05-12 18:00:00,39.57779,36.876623,snow,16.3,14.3,9.6,snow,40.5,92,77.8,1028.5,15.5,30.3,4.3,icy,0.842
WOB-20335,2025-05-12 21:00:00,39.816439,37.330288,rain,24.0,22.3,6.0,rain,34.5,301,68.3,1007.9,19.4,35.4,2.9,wet,0.565
WOB-20336,2025-05-13 00:00:00,39.503304,36.840131,snow,19.5,17.9,7.3,snow,32.6,266,51.7,1005.2,9.3,78.4,5.9,icy,0.739
WOB-20337,2025-05-13 03:00:00,39.697421,37.134478,snow,19.7,17.4,3.0,snow,46.5,207,81.3,980.9,15.5,50.8,3.2,icy,0.827
